id,name,open_date,event_type_id
32492955,San Francisco Giants @ Cincinnati R,2023-07-18 23:11:00,7511
33107001,Milwaukee Brewers @ Seattle Mariners,2024-03-14 20:10:00,7511
33107003,New York Mets @ St. Louis Cardinals,2024-03-14 17:05:00,7511
33107002,New York Yankees @ Detroit Tigers,2024-03-14 17:05:00,7511
33107005,Baltimore Orioles @ Pittsburgh Pirates,2024-03-14 19:05:00,7511
33107004,Kansas City Royals @ Arizona Diamondbacks,2024-03-14 20:10:00,7511
33104287,Atlanta Braves @ Baltimore Orioles,2024-03-13 22:05:00,7511
33107007,Los Angeles Angels @ Chicago White Sox,2024-03-14 20:05:00,7511
33107006,Tampa Bay Rays @ Atlanta Braves,2024-03-14 17:05:00,7511
33107009,Houston Astros @ Washington Nationals,2024-03-14 22:05:00,7511
33107008,Colorado Rockies @ Cleveland Guardians,2024-03-14 20:05:00,7511
33107010,Cincinnati Reds @ Texas Rangers,2024-03-15 01:05:00,7511
33107013,Oakland Athletics @ Chicago Cubs,2024-03-14 20:05:00,7511
33107012,Boston Red Sox @ Philadelphia Phillies,2024-03-14 17:05:00,7511
33104294,Houston Astros @ New York Mets,2024-03-13 22:10:00,7511
33107014,Toronto Blue Jays @ Minnesota Twins,2024-03-14 17:05:00,7511
33103370,Los Angeles Dodgers (T Glasnow) @ San Diego Padres,2024-03-20 10:06:00,7511
33123272,St. Louis Cardinals @ Washington Nationals,2024-03-20 22:05:00,7511
33123281,Detroit Tigers @ Minnesota Twins,2024-03-20 17:05:00,7511
33123280,Chicago Cubs @ Oakland Athletics,2024-03-20 20:05:00,7511
33123282,Toronto Blue Jays @ Atlanta Braves,2024-03-20 17:05:00,7511
33118594,San Diego Padres (J Musgrove) @ Los Angeles Dodger,2024-03-21 10:06:00,7511
33123269,Colorado Rockies @ Arizona Diamondbacks,2024-03-20 20:10:00,7511
33123271,New York Mets @ Miami Marlins,2024-03-20 17:10:00,7511
33123287,Pittsburgh Pirates @ New York Yankees,2024-03-20 22:35:00,7511
33123270,Philadelphia Phillies @ Baltimore Orioles,2024-03-20 22:05:00,7511
33126175,New York Mets @ Detroit Tigers,2024-03-21 17:05:00,7511
33126195,Cincinnati Reds @ Seattle Mariners,2024-03-22 01:40:00,7511
33126194,Minnesota Twins @ Washington Nationals,2024-03-21 17:05:00,7511
33126197,Baltimore Orioles @ Boston Red Sox,2024-03-21 22:05:00,7511
33126196,Houston Astros @ St. Louis Cardinals,2024-03-21 17:05:00,7511
33126189,San Francisco Giants @ Milwaukee Brewers,2024-03-22 01:10:00,7511
33126191,Chicago Cubs @ Colorado Rockies,2024-03-21 20:10:00,7511
33126178,Tampa Bay Rays @ Philadelphia Phillies,2024-03-21 17:05:00,7511
33126181,New York Yankees @ Atlanta Braves,2024-03-21 17:05:00,7511
33126180,Toronto Blue Jays @ Pittsburgh Pirates,2024-03-21 22:05:00,7511
33128216,New York Yankees @ Houston Astros,2024-03-28 20:11:00,7511
33128536,Pittsburgh Pirates @ Miami Marlins,2024-03-28 20:11:00,7511
33128319,Milwaukee Brewers @ New York Mets,2024-03-28 17:11:00,7511
33128627,Boston Red Sox @ Seattle Mariners,2024-03-29 02:11:00,7511
33128498,Detroit Tigers @ Chicago White Sox,2024-03-28 20:11:00,7511
33128466,Minnesota Twins @ Kansas City Royals,2024-03-28 20:11:00,7511
33128597,Cleveland Guardians @ Oakland Athletics,2024-03-29 02:08:00,7511
33128375,Los Angeles Angels @ Baltimore Orioles,2024-03-28 19:06:00,7511
33128840,Pittsburgh Pirates @ Baltimore Orioles,2024-03-22 22:05:00,7511
33128843,St. Louis Cardinals @ Miami Marlins,2024-03-22 22:40:00,7511
33128587,Chicago Cubs @ Texas Rangers,2024-03-28 23:36:00,7511
33128397,Atlanta Braves @ Philadelphia Phillies,2024-03-28 19:06:00,7511
33128844,Detroit Tigers @ Philadelphia Phillies,2024-03-22 17:05:00,7511
33128460,Toronto Blue Jays @ Tampa Bay Rays,2024-03-28 20:11:00,7511
33128609,Colorado Rockies @ Arizona Diamondbacks,2024-03-29 02:11:00,7511
33128837,Washington Nationals @ Houston Astros,2024-03-22 22:05:00,7511
33128836,Boston Red Sox @ Toronto Blue Jays,2024-03-22 17:07:00,7511
33128423,Washington Nationals @ Cincinnati Reds,2024-03-28 20:11:00,7511
33128838,New York Mets @ New York Yankees,2024-03-22 17:05:00,7511
33136409,St. Louis Cardinals @ Chicago Cubs,2024-03-25 20:05:00,7511
33136408,Seattle Mariners @ San Diego Padres,2024-03-26 01:40:00,7511
33136410,Los Angeles Angels @ Los Angeles Dodgers,2024-03-26 01:10:00,7511
33137106,Cleveland Guardians @ Arizona Diamondbacks,2024-03-26 01:40:00,7511
33134421,St. Louis Cardinals @ Los Angeles Dodgers,2024-03-28 20:11:00,7511
33136404,Boston Red Sox @ Texas Rangers,2024-03-26 00:05:00,7511
33136407,Colorado Rockies @ Milwaukee Brewers,2024-03-25 20:10:00,7511
33136406,San Francisco Giants @ Oakland Athletics,2024-03-26 01:40:00,7511
33139121,Seattle Mariners @ San Diego Padres,2024-03-26 20:10:00,7511
33139120,Los Angeles Dodgers @ Los Angeles Angels,2024-03-27 01:07:00,7511
33139125,Oakland Athletics @ San Francisco Giants,2024-03-27 00:05:00,7511
33139124,Milwaukee Brewers @ Colorado Rockies,2024-03-26 19:10:00,7511
33139115,Detroit Tigers @ Tampa Bay Rays,2024-03-26 16:35:00,7511
33139117,Boston Red Sox @ Texas Rangers,2024-03-26 18:05:00,7511
33139116,St. Louis Cardinals @ Chicago Cubs,2024-03-26 19:05:00,7511
33139119,Cleveland Guardians @ Arizona Diamondbacks,2024-03-26 19:40:00,7511
33139118,Atlanta Braves @ Minnesota Twins,2024-03-26 17:05:00,7511
33130545,San Francisco Giants @ San Diego Padres,2024-03-28 20:11:00,7511
33159803,Minnesota Twins @ Milwaukee Brewers,2024-04-03 17:11:00,7511
33159802,Los Angeles Angels @ Miami Marlins,2024-04-03 17:11:00,7511
33159805,Detroit Tigers @ New York Mets,2024-04-03 23:11:00,7511
33159804,Atlanta Braves @ Chicago White Sox,2024-04-03 18:11:00,7511
33159793,Kansas City Royals @ Baltimore Orioles,2024-04-03 17:06:00,7511
33159792,Toronto Blue Jays @ Houston Astros,2024-04-04 00:11:00,7511
33159795,Boston Red Sox @ Oakland Athletics,2024-04-03 19:38:00,7511
33159794,Texas Rangers @ Tampa Bay Rays,2024-04-03 17:11:00,7511
33159796,Cleveland Guardians @ Seattle Mariners,2024-04-03 20:11:00,7511
33159799,New York Yankees @ Arizona Diamondbacks,2024-04-03 19:41:00,7511
33159785,St. Louis Cardinals @ San Diego Padres,2024-04-03 20:11:00,7511
33159786,Pittsburgh Pirates @ Washington Nationals,2024-04-03 22:46:00,7511
33159791,San Francisco Giants @ Los Angeles Dodgers,2024-04-04 02:11:00,7511
33159790,Colorado Rockies @ Chicago Cubs,2024-04-03 23:41:00,7511
33159781,Cincinnati Reds @ Philadelphia Phillies,2024-04-03 20:06:00,7511
