id,status,last_price_traded,total_matched,handicap,market_id,record_date
5408012,ACTIVE,3.65,0.0,0.0,1.216054303,2023-07-14 23:19
7100960,ACTIVE,1.39,0.0,0.0,1.216054303,2023-07-14 23:19
29158,ACTIVE,1.82,0.0,0.0,1.216054575,2023-07-14 23:19
29166,ACTIVE,2.2,0.0,0.0,1.216054575,2023-07-14 23:19
29162,ACTIVE,1.43,0.0,0.0,1.216053981,2023-07-15 00:00
29179,ACTIVE,3.45,0.0,0.0,1.216053981,2023-07-15 00:00
29170,ACTIVE,2.36,0.0,0.0,1.216054119,2023-07-15 00:00
1093236,ACTIVE,1.72,0.0,0.0,1.216054119,2023-07-15 00:00
29159,ACTIVE,2.64,0.0,0.0,1.216054165,2023-07-15 00:00
7100968,ACTIVE,1.6,0.0,0.0,1.216054165,2023-07-15 00:00
41541473,ACTIVE,2.26,0.0,0.0,1.216054211,2023-07-15 00:00
29163,ACTIVE,1.8,0.0,0.0,1.216054211,2023-07-15 00:00
29161,ACTIVE,1.54,0.0,0.0,1.216054257,2023-07-15 00:00
29168,ACTIVE,2.82,0.0,0.0,1.216054257,2023-07-15 00:00
6266193,ACTIVE,2.26,0.0,0.0,1.216054349,2023-07-15 00:00
29157,ACTIVE,1.78,0.0,0.0,1.216054349,2023-07-15 00:00
29158,ACTIVE,1.81,0.0,0.0,1.216054575,2023-07-15 00:00
29166,ACTIVE,2.2,0.0,0.0,1.216054575,2023-07-15 00:00
29171,ACTIVE,,0.0,0.0,1.216083964,2023-07-15 06:00
29174,ACTIVE,,0.0,0.0,1.216083964,2023-07-15 06:00
29172,ACTIVE,,0.0,0.0,1.216084010,2023-07-15 06:00
29167,ACTIVE,,0.0,0.0,1.216084010,2023-07-15 06:00
6266193,ACTIVE,,0.0,0.0,1.216084056,2023-07-15 06:00
29157,ACTIVE,,0.0,0.0,1.216084056,2023-07-15 06:00
29159,ACTIVE,,0.0,0.0,1.216084102,2023-07-15 06:00
7100968,ACTIVE,,0.0,0.0,1.216084102,2023-07-15 06:00
29158,ACTIVE,1.94,0.0,0.0,1.216084148,2023-07-15 06:00
29166,ACTIVE,,0.0,0.0,1.216084148,2023-07-15 06:00
29165,ACTIVE,,0.0,0.0,1.216084194,2023-07-15 06:00
29164,ACTIVE,,0.0,0.0,1.216084194,2023-07-15 06:00
29170,ACTIVE,,0.0,0.0,1.216084240,2023-07-15 06:00
1093236,ACTIVE,,0.0,0.0,1.216084240,2023-07-15 06:00
41541473,ACTIVE,,0.0,0.0,1.216084286,2023-07-15 06:00
29163,ACTIVE,,0.0,0.0,1.216084286,2023-07-15 06:00
29177,ACTIVE,,0.0,0.0,1.216084332,2023-07-15 06:00
29175,ACTIVE,,0.0,0.0,1.216084332,2023-07-15 06:00
29177,ACTIVE,,0.0,0.0,1.216084468,2023-07-15 06:00
29175,ACTIVE,,0.0,0.0,1.216084468,2023-07-15 06:00
29178,ACTIVE,,0.0,0.0,1.216084604,2023-07-15 06:00
29176,ACTIVE,,0.0,0.0,1.216084604,2023-07-15 06:00
5408012,ACTIVE,,0.0,0.0,1.216084650,2023-07-15 06:00
7100960,ACTIVE,,0.0,0.0,1.216084650,2023-07-15 06:00
29161,ACTIVE,,0.0,0.0,1.216084696,2023-07-15 06:00
29168,ACTIVE,,0.0,0.0,1.216084696,2023-07-15 06:00
29171,ACTIVE,1.97,0.0,0.0,1.216083964,2023-07-15 12:00
29174,ACTIVE,,0.0,0.0,1.216083964,2023-07-15 12:00
29172,ACTIVE,2.06,0.0,0.0,1.216084010,2023-07-15 12:00
29167,ACTIVE,1.89,0.0,0.0,1.216084010,2023-07-15 12:00
6266193,ACTIVE,2.06,0.0,0.0,1.216084056,2023-07-15 12:00
29157,ACTIVE,1.89,0.0,0.0,1.216084056,2023-07-15 12:00
29159,ACTIVE,2.86,0.0,0.0,1.216084102,2023-07-15 12:00
7100968,ACTIVE,1.54,0.0,0.0,1.216084102,2023-07-15 12:00
29158,ACTIVE,2.0,0.0,0.0,1.216084148,2023-07-15 12:00
29166,ACTIVE,1.97,0.0,0.0,1.216084148,2023-07-15 12:00
29165,ACTIVE,2.4,0.0,0.0,1.216084194,2023-07-15 12:00
29164,ACTIVE,1.72,0.0,0.0,1.216084194,2023-07-15 12:00
29170,ACTIVE,1.77,0.0,0.0,1.216084240,2023-07-15 12:00
1093236,ACTIVE,,0.0,0.0,1.216084240,2023-07-15 12:00
