game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary,losing_Team
717635,2023-06-24T20:05:00Z,2023-06-24,R,Final,New York Mets,Philadelphia Phillies,121,143,N,1,Cristopher Sanchez,Max Scherzer,,,4,2,9.0,Bottom,2681,Citizens Bank Park,['FS1'],Series tied 1-1,New York Mets,Philadelphia Phillies,Max Scherzer,Cristopher Sanchez,David Robertson,2023-06-24 - New York Mets (4) @ Philadelphia Phillies (2) (Final),
717636,2023-06-24T20:05:00Z,2023-06-24,R,Final,Texas Rangers,New York Yankees,140,147,N,1,Luis Severino,Jon Gray,,,0,1,9.0,Top,3313,Yankee Stadium,[],Series tied 1-1,New York Yankees,Texas Rangers,Luis Severino,Jon Gray,Ron Marinaccio,2023-06-24 - Texas Rangers (0) @ New York Yankees (1) (Final),
717634,2023-06-24T20:07:00Z,2023-06-24,R,Final,Oakland Athletics,Toronto Blue Jays,133,141,N,1,Jose Berrios,Shintaro Fujinami,,,3,7,9.0,Top,14,Rogers Centre,['MLBN (out-of-market only)'],Series tied 1-1,Toronto Blue Jays,Oakland Athletics,Jose Berrios,Shintaro Fujinami,Jordan Romano,2023-06-24 - Oakland Athletics (3) @ Toronto Blue Jays (7) (Final),
717632,2023-06-24T20:10:00Z,2023-06-24,R,Final,Kansas City Royals,Tampa Bay Rays,118,139,N,1,Yonny Chirinos,Jordan Lyles,,,9,4,9.0,Bottom,12,Tropicana Field,['MLBN (out-of-market only)'],KC leads 2-1,Kansas City Royals,Tampa Bay Rays,Jordan Lyles,Yonny Chirinos,,2023-06-24 - Kansas City Royals (9) @ Tampa Bay Rays (4) (Final),
717631,2023-06-24T20:10:00Z,2023-06-24,R,Final,Atlanta Braves,Cincinnati Reds,144,113,N,1,Graham Ashcraft,Jared Shuster,,,7,6,9.0,Bottom,2602,Great American Ball Park,[],Series tied 1-1,Atlanta Braves,Cincinnati Reds,Michael Tonkin,Graham Ashcraft,Raisel Iglesias,2023-06-24 - Atlanta Braves (7) @ Cincinnati Reds (6) (Final),
717629,2023-06-24T20:10:00Z,2023-06-24,R,Final,Boston Red Sox,Chicago White Sox,111,145,N,1,Lance Lynn,James Paxton,,,4,5,9.0,Bottom,4,Guaranteed Rate Field,[],Series tied 1-1,Chicago White Sox,Boston Red Sox,Kendall Graveman,Kenley Jansen,,2023-06-24 - Boston Red Sox (4) @ Chicago White Sox (5) (Final),
717630,2023-06-24T20:10:00Z,2023-06-24,R,Final,Pittsburgh Pirates,Miami Marlins,134,146,N,1,Bryan Hoeing,Osvaldo Bido,,,3,4,11.0,Bottom,4169,loanDepot park,[],MIA leads 2-1,Miami Marlins,Pittsburgh Pirates,Andrew Nardi,Angel Perdomo,,2023-06-24 - Pittsburgh Pirates (3) @ Miami Marlins (4) (Final),
717625,2023-06-24T20:10:00Z,2023-06-24,R,Final,Milwaukee Brewers,Cleveland Guardians,158,114,N,1,Tanner Bibee,Freddy Peralta,,,2,4,9.0,Top,5,Progressive Field,[],Series tied 1-1,Cleveland Guardians,Milwaukee Brewers,Tanner Bibee,Freddy Peralta,Emmanuel Clase,2023-06-24 - Milwaukee Brewers (2) @ Cleveland Guardians (4) (Final),
717626,2023-06-24T23:15:00Z,2023-06-24,R,Final,Houston Astros,Los Angeles Dodgers,117,119,N,1,Bobby Miller,Ronel Blanco,,,7,8,9.0,Top,22,Dodger Stadium,['FOX'],LAD wins 2-0,Los Angeles Dodgers,Houston Astros,Phil Bickford,Bryan Abreu,Evan Phillips,2023-06-24 - Houston Astros (7) @ Los Angeles Dodgers (8) (Final),
717633,2023-06-24T23:15:00Z,2023-06-24,R,Final,Minnesota Twins,Detroit Tigers,142,116,N,1,Reese Olson,Pablo Lopez,,,2,3,9.0,Top,2394,Comerica Park,['FOX'],Series tied 1-1,Detroit Tigers,Minnesota Twins,Reese Olson,Pablo Lopez,Alex Lange,2023-06-24 - Minnesota Twins (2) @ Detroit Tigers (3) (Final),
717638,2023-06-25T00:40:00Z,2023-06-24,R,Final,Washington Nationals,San Diego Padres,120,135,N,1,Matt Waldron,Josiah Gray,,,2,0,9.0,Bottom,2680,Petco Park,['MLBN (out-of-market only)'],Series tied 1-1,Washington Nationals,San Diego Padres,Josiah Gray,Matt Waldron,Hunter Harvey,2023-06-24 - Washington Nationals (2) @ San Diego Padres (0) (Final),
