pitcher_id,pitcher_name,current_team,position,pitch_hand,games_started
453286,Max Scherzer,New York Mets,P,Right,16
608717,Chris Stratton,St. Louis Cardinals,P,Right,0
669456,Shane Bieber,Cleveland Guardians,P,Right,19
643511,Tyler Rogers,San Francisco Giants,P,Right,0
674072,Tommy Henry,Arizona Diamondbacks,P,Left,13
489119,Wade Miley,Milwaukee Brewers,P,Left,13
641729,Joe Jimenez,Atlanta Braves,P,Right,0
669302,Logan Gilbert,Seattle Mariners,P,Right,18
571578,Patrick Corbin,Washington Nationals,P,Left,19
660787,Yerry De Los Santos,Pittsburgh Pirates,P,Right,0
622072,Alex Wood,San Francisco Giants,P,Left,9
542881,Tyler Anderson,Los Angeles Angels,P,Left,15
518617,Jake Diekman,Tampa Bay Rays,P,Left,0
543243,Sonny Gray,Minnesota Twins,P,Right,18
669022,MacKenzie Gore,Washington Nationals,P,Left,18
650556,Bryan Abreu,Houston Astros,P,Right,0
641743,Anthony Kay,Chicago Cubs,P,Left,0
548389,Ross Stripling,San Francisco Giants,P,Right,7
543135,Nathan Eovaldi,Texas Rangers,P,Right,18
657746,Joe Ryan,Minnesota Twins,P,Right,18
670174,Josh Winckowski,Boston Red Sox,P,Right,0
571948,Hoby Milner,Milwaukee Brewers,P,Left,0
592773,Ryne Stanek,Houston Astros,P,Right,0
628317,Kenta Maeda,Minnesota Twins,P,Right,7
605483,Blake Snell,San Diego Padres,P,Left,18
669212,Eli Morgan,Cleveland Guardians,P,Right,0
622491,Luis Castillo,Seattle Mariners,P,Right,18
630023,Yonny Chirinos,Tampa Bay Rays,P,Right,4
607259,Nick Martinez,San Diego Padres,P,Right,4
657277,Logan Webb,San Francisco Giants,P,Right,19
680694,Kyle Bradish,Baltimore Orioles,P,Right,16
663986,Trevor Stephan,Cleveland Guardians,P,Right,0
657006,Justin Steele,Chicago Cubs,P,Left,16
571882,Derek Law,Cincinnati Reds,P,Right,2
571670,Dylan Lee,Miami Marlins,P,Right,0
605280,Clay Holmes,New York Yankees,P,Right,0
607625,Seth Lugo,San Diego Padres,P,Right,12
612434,Miguel Castro,Arizona Diamondbacks,P,Right,0
450203,Charlie Morton,Atlanta Braves,P,Right,17
642547,Freddy Peralta,Milwaukee Brewers,P,Right,17
476595,Lucas Luetge,Atlanta Braves,P,Left,0
641154,Pablo Lopez,Minnesota Twins,P,Right,18
608665,Kendall Graveman,Chicago White Sox,P,Right,0
543507,Trevor May,Oakland Athletics,P,Right,0
623149,Paul Sewald,Seattle Mariners,P,Right,0
661527,Seth Martinez,Houston Astros,P,Right,0
680704,Nick Sandlin,Cleveland Guardians,P,Right,0
596001,Jakob Junis,San Francisco Giants,P,Right,0
663776,Patrick Sandoval,Los Angeles Angels,P,Left,16
445276,Kenley Jansen,Boston Red Sox,P,Right,0
621107,Zach Eflin,Tampa Bay Rays,P,Right,17
605177,Andrew Chafin,Arizona Diamondbacks,P,Left,0
660853,Enyel De Los Santos,Cleveland Guardians,P,Right,0
518585,Fernando Cruz,Cincinnati Reds,P,Right,0
543056,Danny Coulombe,Baltimore Orioles,P,Left,0
661403,Emmanuel Clase,Cleveland Guardians,P,Right,0
656464,Kevin Ginkel,Arizona Diamondbacks,P,Right,0
640470,Adbert Alzolay,Chicago Cubs,P,Right,0
571479,Andrew Bellatti,Philadelphia Phillies,P,Right,0
571670,Dylan Floro,Miami Marlins,P,Right,0
642207,Devin Williams,Milwaukee Brewers,P,Right,0
660271,Shohei Ohtani,Los Angeles Angels,TWP,Right,17
621345,A.J. Minter,Atlanta Braves,P,Left,0
642397,Gregory Soto,Philadelphia Phillies,P,Left,0
605347,Jorge Lopez,Minnesota Twins,P,Right,0
664294,Dauri Moreta,Pittsburgh Pirates,P,Right,0
641703,Brent Honeywell,San Diego Padres,P,Right,0
607755,Andrew Vasquez,Philadelphia Phillies,P,Left,0
669459,Kyle Nelson,Arizona Diamondbacks,P,Left,1
642545,Jaime Barria,Los Angeles Angels,P,Right,6
682120,Tim Herrin,Cleveland Guardians,P,Left,0
656945,Tanner Scott,Miami Marlins,P,Left,0
605447,Jordan Romano,Toronto Blue Jays,P,Right,0
621363,Colin Poche,Tampa Bay Rays,P,Left,0
571760,Andrew Heaney,Texas Rangers,P,Left,17
641329,Bryan Baker,Baltimore Orioles,P,Right,0
543859,Michael Tonkin,Atlanta Braves,P,Right,0
621074,Michael Rucker,Chicago Cubs,P,Right,0
643377,Griffin Jax,Minnesota Twins,P,Right,0
606149,Giovanny Gallegos,St. Louis Cardinals,P,Right,0
518397,Scott Alexander,San Francisco Giants,P,Left,1
593974,Wandy Peralta,New York Yankees,P,Left,0
669467,Andre Pallante,St. Louis Cardinals,P,Right,0
640462,A.J. Puk,Miami Marlins,P,Left,0
671737,Taj Bradley,Tampa Bay Rays,P,Right,13
642585,Felix Bautista,Baltimore Orioles,P,Right,0
687330,Kevin Kelly,Tampa Bay Rays,P,Right,0
542585,Jose Cisnero,Detroit Tigers,P,Right,0
641941,Emilio Pagan,Minnesota Twins,P,Right,0
668868,Zack Thompson,St. Louis Cardinals,P,Left,0
666374,Matt Brash,Seattle Mariners,P,Right,0
592741,Chasen Shreve,Detroit Tigers,P,Left,0
622098,Drew Smith,New York Mets,P,Right,0
518489,Ryan Brasier,Los Angeles Dodgers,P,Right,0
666168,Mason Thompson,Washington Nationals,P,Right,0
592767,Drew Smyly,Chicago Cubs,P,Left,18
656271,Brock Burke,Texas Rangers,P,Left,0
664139,Ian Gibaut,Cincinnati Reds,P,Right,0
448179,Rich Hill,Pittsburgh Pirates,P,Left,18
656849,David Peterson,New York Mets,P,Left,11
608337,Lucas Giolito,Chicago White Sox,P,Right,19
643410,Mark Leiter Jr.,Chicago Cubs,P,Right,0
669060,Bryse Wilson,Milwaukee Brewers,P,Right,0
666808,Camilo Doval,San Francisco Giants,P,Right,0
641656,Ian Hamilton,New York Yankees,P,Right,1
657571,Caleb Ferguson,Los Angeles Dodgers,P,Left,1
593576,Hector Neris,Houston Astros,P,Right,0
601713,Nick Pivetta,Boston Red Sox,P,Right,8
666129,Braxton Garrett,Miami Marlins,P,Left,17
605397,Joe Musgrove,San Diego Padres,P,Right,14
621016,Jose Cuas,Kansas City Royals,P,Right,1
641927,Bailey Ober,Minnesota Twins,P,Right,14
506433,Yu Darvish,San Diego Padres,P,Right,15
664747,Alexis Diaz,Cincinnati Reds,P,Right,0
502171,Alex Cobb,San Francisco Giants,P,Right,16
680686,Josiah Gray,Washington Nationals,P,Right,18
608371,Lucas Sims,Cincinnati Reds,P,Right,0
669330,Tyler Wells,Baltimore Orioles,P,Right,17
676440,Tanner Bibee,Cleveland Guardians,P,Right,13
502085,David Robertson,New York Mets,P,Right,0
641835,Tim Mayza,Toronto Blue Jays,P,Left,0
547973,Aroldis Chapman,Texas Rangers,P,Left,0
676680,Tom Cosgrove,San Diego Padres,P,Left,0
607481,Aaron Bummer,Chicago White Sox,P,Left,0
640451,Hunter Harvey,Washington Nationals,P,Right,0
664875,Justin Lawrence,Colorado Rockies,P,Right,0
642100,Gabe Speier,Seattle Mariners,P,Left,0
547179,Michael Lorenzen,Detroit Tigers,P,Right,15
660813,Brusdar Graterol,Los Angeles Dodgers,P,Right,1
543521,Collin McHugh,Atlanta Braves,P,Right,1
656061,Albert Abreu,New York Yankees,P,Right,0
666619,Gregory Santos,Chicago White Sox,P,Right,0
640448,Kyle Finnegan,Washington Nationals,P,Right,0
543272,Brad Hand,Colorado Rockies,P,Left,0
678394,Brayan Bello,Boston Red Sox,P,Right,14
